P. Habitable Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Zone Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable
2,2,3,1,3,4.87225,8.57,1.91,1.23,2.35,2.12,0.27992,0.59268,0.93704,174.03034,212.67224,191.90944,244.98509,267.50401,269.35837,10.6,-17.45236,3.63,48.14,0.1939,0.16,0.19,89.85585,17.3,0.42,0.41,3466,0.02208,0.02,3.3225,12.0,18.2,4.4766,-25.1711,-25.99901,1.1499,3,2,0.122,0.316,-0.00893,-0.14,1.0,0.49,0.68164,0,1
2,2,3,2,3,4.31373,5.21,1.68,1.11,1.86,1.76,0.36472,0.57557,1.39293,161.74343,199.86717,202.69317,243.88008,244.44582,287.06281,5.8,-17.81083,3.18,67.27,0.2039,0.32,0.19,89.88815,102.0,0.25,0.32,3305,0.01101,-0.31145,3.3225,10.1,4.29,16.505,-12.6626,-26.34705,0.8847,3,1,0.086,0.225,0.2291,-0.15,0.76,0.48,0.62781,0,1
2,4,3,2,3,3.08873,2.73,1.4,0.99,1.39,1.4,0.32181,0.52642,0.38374,165.33893,186.52464,217.22836,211.41316,244.53968,249.08214,2.7,-18.08922,2.66,86.83,0.3124,0.0,0.31,89.86122,0.0,0.54,0.51,3784,0.04784,-0.31145,3.72,15.5,236.0,19.8324,46.9967,-26.00933,0.8699,1,2,0.178,0.456,0.52897,-0.16,0.12,0.83,0.76183,0,1
2,4,3,2,3,6.14387,0.62,0.92,0.8,0.74,0.82,0.46828,0.37502,1.18151,192.68429,231.70345,243.86852,256.26804,253.28112,299.03082,0.5,-17.22217,1.74,6.1,0.0282,0.09,0.03,89.74405,0.0,0.08,0.12,2559,0.00053,0.04,0.5,18.8,12.1,23.1081,-5.0413,-26.36389,2.2216,7,2,0.019,0.051,-0.16977,-0.12,-0.68,0.55,0.83926,0,1
2,2,3,1,3,6.4267,8.7,1.92,1.24,2.37,2.13,0.21916,0.55992,0.58668,162.54076,220.44986,239.4004,256.09461,251.34786,268.07974,10.8,-17.00266,3.64,57.32,0.176,0.1,0.18,89.83055,320.9,0.27,0.39,3028,0.01132,-0.31145,3.3225,11.87857,5.08,17.6177,-43.6808,-26.12171,1.1831,2,2,0.087,0.232,0.52265,-0.14,1.19,0.45,0.75808,0,1
2,2,3,2,3,5.83805,7.26,1.83,1.19,2.17,1.99,0.37435,0.32086,0.61105,213.91734,183.22635,196.12624,235.53539,254.71212,281.54372,8.6,-16.83356,3.48,25.64,0.1254,0.09,0.12,89.79648,235.4,0.4,0.23,3840,0.01038,-0.31145,3.0,11.8,15.0,4.1544,-53.3736,-25.42998,0.9881,3,2,0.083,0.212,0.0635,-0.14,0.81,0.53,0.66841,0,1
2,4,2,2,3,1.76237,0.68,1.04,0.6,0.62,0.81,0.25433,0.62763,1.16899,191.01806,222.55288,229.24759,253.09408,251.67607,277.76753,0.4,-16.87168,1.99,9.21,0.0371,0.06,0.04,89.75694,0.0,0.08,0.12,2559,0.00053,0.04,0.5,18.8,12.1,23.1081,-5.0413,-25.78628,1.684,7,3,0.019,0.051,0.34012,0.25,-0.63,0.59,0.6664,0,1
2,2,3,2,3,4.76797,7.09,1.82,1.18,2.15,1.98,0.2566,0.50801,1.34295,213.03846,229.33344,229.02629,258.13904,233.76404,317.12748,8.4,-17.83151,3.45,197.8,0.6,0.29,0.57,89.75361,91.2,0.77,0.65,4977,0.2333,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-25.56163,0.6042,6,1,0.379,0.917,-0.38387,-0.14,0.77,0.56,0.86222,1,1
2,2,3,2,3,6.78669,5.21,1.68,1.11,1.86,1.76,0.27173,0.51395,0.99032,193.54868,228.47645,260.71026,218.05106,230.16266,244.33543,5.8,-18.00491,3.18,67.27,0.2039,0.32,0.19,89.96221,102.0,0.25,0.32,3305,0.01101,-0.31145,3.3225,10.1,4.29,16.505,-12.6626,-25.57368,0.8847,3,3,0.086,0.225,0.36972,-0.15,0.76,0.48,0.72189,0,1
2,4,3,2,3,5.14316,2.7,1.4,0.99,1.39,1.39,0.35072,0.52785,0.68769,179.53857,218.1386,234.99986,229.76764,253.95247,251.67627,2.7,-17.04078,2.65,62.24,0.213,0.02,0.21,89.92772,28.6,0.33,0.35,3350,0.0137,-0.55,2.0,10.2,6.8,17.3158,-34.9897,-26.06935,0.8714,6,1,0.096,0.251,-0.11181,-0.16,0.23,0.63,0.67387,0,1
2,2,3,2,3,7.10928,7.26,1.83,1.19,2.17,1.99,0.16664,0.40977,1.355,223.385,211.02545,267.69314,202.91311,260.8352,315.6162,8.6,-17.13984,3.48,25.64,0.1254,0.09,0.12,89.92257,235.4,0.4,0.23,3840,0.01038,-0.31145,3.0,11.8,15.0,4.1544,-53.3736,-26.22609,0.9881,3,2,0.083,0.212,0.44334,-0.14,0.81,0.53,0.6646,0,1
2,2,3,1,3,2.8123,14.78,2.18,1.42,3.1,2.6,0.22901,0.39592,0.65009,171.2724,188.09652,265.10865,227.28741,254.65222,233.3406,21.0,-17.94728,4.15,247.35,0.677,0.0,0.68,89.9213,0.0,0.68,0.62,4880,0.19559,-0.556,3.3225,11.87857,360.0,19.1626,43.8321,-25.48004,0.488,3,2,0.348,0.846,0.56019,-0.13,1.77,0.36,0.71022,0,1
2,2,3,2,3,1.88298,7.09,1.82,1.18,2.15,1.98,0.50925,0.41473,1.05334,196.42897,183.03097,260.63071,264.83217,259.64037,298.39463,8.4,-17.86312,3.45,197.8,0.6,0.29,0.57,89.88246,91.2,0.77,0.65,4977,0.2333,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-25.63555,0.6042,6,1,0.379,0.917,-0.08669,-0.14,0.77,0.56,0.59314,1,1
2,4,3,2,3,6.6257,1.27,1.12,0.9,1.01,1.06,0.36638,0.29007,1.02997,217.76331,201.1544,224.44111,255.66063,247.696,233.86066,1.1,-16.33025,2.13,11.19,0.0485,0.35,0.05,89.73577,310.0,0.12,0.14,3050,0.00154,-0.31145,4.85,11.1,1.29,14.4953,-62.6795,-26.04123,1.654,1,3,0.032,0.086,0.49993,-0.17,-0.39,0.64,0.86532,0,1
2,4,3,2,3,3.63943,2.73,1.4,0.99,1.39,1.4,0.53717,0.58313,0.44419,200.38442,204.20509,279.96115,219.08821,228.27638,235.87945,2.7,-16.27031,2.66,86.83,0.3124,0.0,0.31,89.70411,0.0,0.54,0.51,3784,0.04784,-0.31145,3.72,15.5,236.0,19.8324,46.9967,-26.28513,0.8699,1,1,0.178,0.456,0.01939,-0.16,0.12,0.83,0.75925,0,1
2,2,3,1,3,3.50475,14.78,2.18,1.42,3.1,2.6,0.30348,0.28603,1.07435,223.83458,185.68735,224.51937,242.14773,224.07452,296.17149,21.0,-17.18168,4.15,247.35,0.677,0.0,0.68,89.76374,0.0,0.68,0.62,4880,0.19559,-0.556,3.3225,11.87857,360.0,19.1626,43.8321,-26.0696,0.488,3,2,0.348,0.846,0.51571,-0.13,1.77,0.36,0.69609,0,1
2,4,3,2,3,3.00812,2.81,1.41,1.0,1.41,1.41,0.5434,0.46518,0.67225,228.08928,209.09188,266.48141,221.4219,271.8415,296.93866,2.8,-16.82226,2.68,267.29,0.718,0.0,0.72,89.97477,0.0,0.69,0.63,4869,0.20014,-0.21,7.0,14.0,368.0,18.8808,45.3499,-26.14769,0.4676,5,3,0.353,0.857,-0.40278,-0.16,0.19,0.66,0.72925,0,1
2,2,3,2,3,8.06885,7.26,1.83,1.19,2.17,1.99,0.23044,0.34785,0.85644,186.88888,218.43774,201.06378,204.22255,246.27111,232.4351,8.6,-16.69797,3.48,25.64,0.1254,0.09,0.12,89.72356,235.4,0.4,0.23,3840,0.01038,-0.31145,3.0,11.8,15.0,4.1544,-53.3736,-25.95623,0.9881,3,2,0.083,0.212,0.71109,-0.14,0.81,0.53,0.66659,0,1
2,2,3,2,3,7.54948,7.09,1.82,1.18,2.15,1.98,0.33471,0.55072,0.63054,223.22736,183.59917,191.11311,224.47421,263.44189,283.80391,8.4,-16.8678,3.45,197.8,0.6,0.29,0.57,89.70898,91.2,0.77,0.65,4977,0.2333,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-26.17569,0.6042,6,2,0.379,0.917,0.09044,-0.14,0.77,0.56,0.74841,1,1
2,4,3,2,3,5.9402,2.73,1.4,0.99,1.39,1.4,0.49551,0.38124,1.24846,188.94239,183.2274,209.06698,245.5388,237.64828,281.38813,2.7,-17.17506,2.66,86.83,0.3124,0.0,0.31,89.86183,0.0,0.54,0.51,3784,0.04784,-0.31145,3.72,15.5,236.0,19.8324,46.9967,-25.62358,0.8699,1,3,0.178,0.456,0.31974,-0.16,0.12,0.83,0.59692,0,1
2,4,3,2,3,5.05332,0.62,0.92,0.8,0.74,0.82,0.42164,0.60208,0.82098,203.86223,199.04225,267.12648,218.31481,255.44845,309.81111,0.5,-16.73307,1.74,6.1,0.0282,0.09,0.03,89.9295,0.0,0.08,0.12,2559,0.00053,0.04,0.5,18.8,12.1,23.1081,-5.0413,-26.16495,2.2216,7,2,0.019,0.051,0.31406,-0.12,-0.68,0.55,0.59843,0,1
2,2,3,2,3,7.95128,7.09,1.82,1.18,2.15,1.98,0.35276,0.34876,0.77995,165.72197,231.50955,227.2125,221.00992,230.83484,289.17684,8.4,-17.52526,3.45,197.8,0.6,0.29,0.57,89.87103,91.2,0.77,0.65,4977,0.2333,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-25.95319,0.6042,6,1,0.379,0.917,0.51001,-0.14,0.77,0.56,0.86756,1,1
2,4,3,2,3,6.47526,2.7,1.4,0.99,1.39,1.39,0.49621,0.6198,0.35257,222.19438,191.67087,223.31876,243.68286,261.03875,251.15574,2.7,-17.84884,2.65,62.24,0.213,0.02,0.21,89.78745,28.6,0.33,0.35,3350,0.0137,-0.55,2.0,10.2,6.8,17.3158,-34.9897,-25.57047,0.8714,6,1,0.096,0.251,0.44456,-0.16,0.23,0.63,0.84428,0,1
2,2,3,2,3,4.68806,7.09,1.82,1.18,2.15,1.98,0.57719,0.66814,0.77417,202.92912,226.6337,250.06407,259.58388,230.48551,294.37776,8.4,-17.55389,3.45,197.8,0.6,0.29,0.57,89.83801,91.2,0.77,0.65,4977,0.2333,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-26.36187,0.6042,6,3,0.379,0.917,-0.05969,-0.14,0.77,0.56,0.76182,1,1
2,4,3,2,3,5.17686,4.8,1.64,1.09,1.79,1.71,0.47923,0.54638,1.0723,216.41296,201.52295,199.42414,231.9313,249.336,275.60225,5.2,-17.3495,3.11,48.62,0.168,0.21,0.16,89.97534,80.4,0.28,0.29,3550,0.01198,-0.86,8.0,8.8,3.91,5.1947,-45.0183,-26.19591,0.9409,2,3,0.089,0.232,0.02758,-0.15,0.57,0.63,0.77638,0,1
2,4,3,2,3,2.02339,0.62,0.92,0.8,0.74,0.82,0.60672,0.50947,0.92369,215.44272,217.59787,202.09248,248.68069,242.42188,237.91648,0.5,-17.86909,1.74,6.1,0.0282,0.09,0.03,89.83611,0.0,0.08,0.12,2559,0.00053,0.04,0.5,18.8,12.1,23.1081,-5.0413,-25.54188,2.2216,7,2,0.019,0.051,0.19735,-0.12,-0.68,0.55,0.64971,0,1
2,2,3,2,3,4.65919,5.21,1.68,1.11,1.86,1.76,0.47851,0.56971,0.89511,202.06559,202.03234,248.95528,227.38769,250.19642,229.84663,5.8,-17.69964,3.18,67.27,0.2039,0.32,0.19,89.94744,102.0,0.25,0.32,3305,0.01101,-0.31145,3.3225,10.1,4.29,16.505,-12.6626,-25.87889,0.8847,3,2,0.086,0.225,-0.38049,-0.15,0.76,0.48,0.79633,0,1
2,4,3,2,3,1.91192,2.73,1.4,0.99,1.39,1.4,0.47212,0.64904,0.96056,209.59807,207.88043,203.75019,230.31014,264.36664,235.01719,2.7,-17.82784,2.66,86.83,0.3124,0.0,0.31,89.98423,0.0,0.54,0.51,3784,0.04784,-0.31145,3.72,15.5,236.0,19.8324,46.9967,-25.99391,0.8699,1,3,0.178,0.456,0.24877,-0.16,0.12,0.83,0.84284,0,1
2,4,3,2,3,5.06271,2.73,1.4,0.99,1.39,1.4,0.51911,0.35258,0.62179,202.49221,200.41362,241.15452,211.67713,225.17683,258.95352,2.7,-17.34355,2.66,86.83,0.3124,0.0,0.31,89.8472,0.0,0.54,0.51,3784,0.04784,-0.31145,3.72,15.5,236.0,19.8324,46.9967,-25.98638,0.8699,1,3,0.178,0.456,0.6532,-0.16,0.12,0.83,0.71624,0,1
2,2,3,2,3,7.53508,6.14,1.75,1.15,2.01,1.87,0.24671,0.62136,1.41691,218.01827,212.18017,239.37572,238.32523,259.2172,229.48228,7.0,-17.31855,3.33,63.34,0.283,0.12,0.28,89.9685,0.0,0.45,0.43,3572,0.027,-0.12,4.2,10.1,226.0,19.1027,49.4373,-25.86482,0.8155,5,2,0.134,0.347,0.20901,-0.14,0.86,0.51,0.80547,0,1
2,4,3,2,3,1.86931,2.7,1.4,0.99,1.39,1.39,0.46345,0.49768,1.00342,202.47984,187.16106,261.44188,243.6982,227.77555,309.96869,2.7,-16.2601,2.65,39.03,0.156,0.03,0.16,89.8557,103.0,0.33,0.35,3350,0.0137,-0.55,2.0,10.2,6.8,17.3158,-34.9897,-26.01146,1.19,6,3,0.096,0.251,0.71936,-0.16,0.08,0.78,0.72925,0,1
2,2,3,1,3,3.87145,14.78,2.18,1.42,3.1,2.6,0.46829,0.35848,0.88959,179.68816,186.57723,234.24396,218.31215,237.61436,244.7044,21.0,-17.63346,4.15,247.35,0.677,0.0,0.68,89.77482,0.0,0.68,0.62,4880,0.19559,-0.556,3.3225,11.87857,360.0,19.1626,43.8321,-25.81976,0.488,3,1,0.348,0.846,-0.3092,-0.13,1.77,0.36,0.76188,0,1
2,4,3,2,3,6.42784,0.62,0.92,0.8,0.74,0.82,0.43098,0.61405,0.97661,171.11107,207.50852,258.39484,261.13667,223.97501,267.51948,0.5,-17.23884,1.74,6.1,0.0282,0.09,0.03,89.98955,0.0,0.08,0.12,2559,0.00053,0.04,0.5,18.8,12.1,23.1081,-5.0413,-25.83488,2.2216,7,1,0.019,0.051,0.20875,-0.12,-0.68,0.55,0.77777,0,1
2,4,3,2,3,4.27214,2.34,1.34,0.97,1.3,1.32,0.28405,0.35992,1.14325,194.4283,224.08699,258.4964,265.31148,231.82088,235.83783,2.3,-17.44787,2.55,112.31,0.409,0.04,0.41,89.75275,0.0,0.61,0.59,4402,0.117,-0.37,2.9,7.7,342.0,19.0244,39.2801,-26.19138,0.7685,1,3,0.274,0.681,0.4349,-0.16,-0.06,0.73,0.68487,0,1
2,2,3,2,3,7.36566,6.14,1.75,1.15,2.01,1.87,0.35021,0.40907,0.5085,215.41238,215.02937,258.91867,217.2528,226.54483,262.55166,7.0,-17.73023,3.33,63.34,0.283,0.12,0.28,89.95455,0.0,0.45,0.43,3572,0.027,-0.12,4.2,10.1,226.0,19.1027,49.4373,-26.28096,0.8155,5,1,0.134,0.347,-0.27448,-0.14,0.86,0.51,0.70256,0,1
2,4,3,2,3,3.30054,2.81,1.41,1.0,1.41,1.41,0.17749,0.40493,1.40348,215.88916,214.68199,234.88659,228.41919,255.99624,285.86755,2.8,-17.41888,2.68,267.29,0.718,0.0,0.72,89.97123,0.0,0.69,0.63,4869,0.20014,-0.21,7.0,14.0,368.0,18.8808,45.3499,-25.52848,0.4676,5,2,0.353,0.857,0.71685,-0.16,0.19,0.66,0.7935,0,1
2,4,3,2,3,1.81071,4.8,1.64,1.09,1.79,1.71,0.38803,0.41945,1.23696,174.5317,199.82258,249.06837,224.2727,255.09773,245.90869,5.2,-17.84091,3.11,48.62,0.168,0.21,0.16,89.76252,80.4,0.28,0.29,3550,0.01198,-0.86,8.0,8.8,3.91,5.1947,-45.0183,-25.47713,0.9409,2,1,0.089,0.232,-0.27191,-0.15,0.57,0.63,0.69846,0,1
2,4,3,2,3,3.04778,2.7,1.4,0.99,1.39,1.39,0.26117,0.45059,0.73944,213.72337,189.15646,228.85125,226.24771,253.92047,259.06969,2.7,-17.49292,2.65,39.03,0.156,0.03,0.16,89.755,103.0,0.33,0.35,3350,0.0137,-0.55,2.0,10.2,6.8,17.3158,-34.9897,-25.82234,1.19,6,3,0.096,0.251,-0.01243,-0.16,0.08,0.78,0.64649,0,1
2,4,3,2,3,4.68807,0.62,0.92,0.8,0.74,0.82,0.33221,0.61544,0.88776,193.991,214.95061,240.78129,262.21813,243.44748,282.15776,0.5,-16.82551,1.74,6.1,0.0282,0.09,0.03,89.87445,0.0,0.08,0.12,2559,0.00053,0.04,0.5,18.8,12.1,23.1081,-5.0413,-25.98454,2.2216,7,2,0.019,0.051,-0.0681,-0.12,-0.68,0.55,0.67248,0,1
2,4,3,2,3,2.44893,4.8,1.64,1.09,1.79,1.71,0.49149,0.64652,1.4404,180.69316,192.10801,236.59904,260.74792,271.93446,294.67147,5.2,-17.53186,3.11,48.62,0.168,0.21,0.16,89.74185,80.4,0.28,0.29,3550,0.01198,-0.86,8.0,8.8,3.91,5.1947,-45.0183,-26.03954,0.9409,2,2,0.089,0.232,0.17328,-0.15,0.57,0.63,0.56372,0,1
2,4,3,2,3,6.16515,1.27,1.12,0.9,1.01,1.06,0.55034,0.33423,0.58001,220.64585,190.71394,191.16715,252.46322,237.93321,263.25742,1.1,-16.78773,2.13,11.19,0.0485,0.35,0.05,89.94897,310.0,0.12,0.14,3050,0.00154,-0.31145,4.85,11.1,1.29,14.4953,-62.6795,-26.10089,1.654,1,2,0.032,0.086,-0.23042,-0.17,-0.39,0.64,0.64308,0,1
2,2,3,2,3,3.78816,7.26,1.83,1.19,2.17,1.99,0.16223,0.32361,1.19093,215.01765,231.13696,282.85082,207.39799,265.52807,270.72209,8.6,-16.46038,3.48,25.64,0.1254,0.09,0.12,89.80266,235.4,0.4,0.23,3840,0.01038,-0.31145,3.0,11.8,15.0,4.1544,-53.3736,-25.60061,0.9881,3,2,0.083,0.212,0.15919,-0.14,0.81,0.53,0.64186,0,1
2,2,3,2,3,1.85114,5.21,1.68,1.11,1.86,1.76,0.24489,0.49513,0.39485,211.58695,185.28473,212.8548,241.16347,248.32654,276.98167,5.8,-17.20819,3.18,67.27,0.2039,0.32,0.19,89.83471,102.0,0.25,0.32,3305,0.01101,-0.31145,3.3225,10.1,4.29,16.505,-12.6626,-25.59357,0.8847,3,2,0.086,0.225,0.55393,-0.15,0.76,0.48,0.67044,0,1
2,4,3,2,3,4.50191,2.73,1.4,0.99,1.39,1.4,0.33907,0.38499,1.11898,203.59618,203.33337,240.61242,225.81209,243.2725,318.77249,2.7,-17.46593,2.66,86.83,0.3124,0.0,0.31,89.92183,0.0,0.54,0.51,3784,0.04784,-0.31145,3.72,15.5,236.0,19.8324,46.9967,-25.83742,0.8699,1,2,0.178,0.456,-0.15519,-0.16,0.12,0.83,0.79154,0,1
2,2,3,2,3,7.80211,7.26,1.83,1.19,2.17,1.99,0.18615,0.45843,1.09138,165.71746,195.77453,244.6845,241.82147,252.14725,305.07049,8.6,-17.54032,3.48,25.64,0.1254,0.09,0.12,89.92232,235.4,0.4,0.23,3840,0.01038,-0.31145,3.0,11.8,15.0,4.1544,-53.3736,-25.61387,0.9881,3,1,0.083,0.212,-0.08163,-0.14,0.81,0.53,0.62532,0,1
2,4,3,2,3,8.46095,2.81,1.41,1.0,1.41,1.41,0.18206,0.35412,0.35899,205.69662,181.83161,233.71583,231.42833,267.6544,245.86032,2.8,-17.53886,2.68,267.29,0.718,0.0,0.72,89.95941,0.0,0.69,0.63,4869,0.20014,-0.21,7.0,14.0,368.0,18.8808,45.3499,-26.39105,0.4676,5,3,0.353,0.857,0.10577,-0.16,0.19,0.66,0.72325,0,1
2,4,3,2,3,5.51705,4.8,1.64,1.09,1.79,1.71,0.40007,0.5408,0.62706,220.29034,212.5243,196.08376,244.2455,224.68424,263.81486,5.2,-17.4905,3.11,48.62,0.168,0.21,0.16,89.98003,80.4,0.28,0.29,3550,0.01198,-0.86,8.0,8.8,3.91,5.1947,-45.0183,-25.93309,0.9409,2,2,0.089,0.232,0.38153,-0.15,0.57,0.63,0.56018,0,1
2,4,3,2,3,4.41602,1.27,1.12,0.9,1.01,1.06,0.56834,0.47726,0.62534,211.78674,202.41043,258.66569,265.87626,256.20356,229.76999,1.1,-16.68733,2.13,11.19,0.0485,0.35,0.05,89.94227,310.0,0.12,0.14,3050,0.00154,-0.31145,4.85,11.1,1.29,14.4953,-62.6795,-25.52015,1.654,1,4,0.032,0.086,0.68687,-0.17,-0.39,0.64,0.64895,0,1
2,4,3,2,3,5.79514,2.73,1.4,0.99,1.39,1.4,0.24607,0.46036,0.58872,199.21365,197.54813,218.81663,219.68764,234.32919,288.8982,2.7,-17.44485,2.66,86.83,0.3124,0.0,0.31,89.92021,0.0,0.54,0.51,3784,0.04784,-0.31145,3.72,15.5,236.0,19.8324,46.9967,-25.95625,0.8699,1,2,0.178,0.456,-0.11799,-0.16,0.12,0.83,0.6814,0,1
2,4,3,2,3,6.54037,2.34,1.34,0.97,1.3,1.32,0.50019,0.38987,0.43337,218.20018,206.29659,194.33503,233.51496,234.98205,295.4616,2.3,-16.94434,2.55,112.31,0.409,0.04,0.41,89.81337,0.0,0.61,0.59,4402,0.117,-0.37,2.9,7.7,342.0,19.0244,39.2801,-25.51314,0.7685,1,3,0.274,0.681,0.00565,-0.16,-0.06,0.73,0.83711,0,1
2,2,3,2,3,6.60312,7.09,1.82,1.18,2.15,1.98,0.4306,0.6947,1.12945,165.96443,215.5541,238.58651,251.88632,234.9758,246.52101,8.4,-17.57215,3.45,197.8,0.6,0.29,0.57,89.84661,91.2,0.77,0.65,4977,0.2333,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-25.69514,0.6042,6,2,0.379,0.917,0.63906,-0.14,0.77,0.56,0.81769,1,1
2,2,3,2,3,4.85906,6.14,1.75,1.15,2.01,1.87,0.27998,0.44736,1.12062,204.08833,222.39355,248.84409,258.22124,247.97759,245.3969,7.0,-17.75407,3.33,63.34,0.283,0.12,0.28,89.96527,0.0,0.45,0.43,3572,0.027,-0.12,4.2,10.1,226.0,19.1027,49.4373,-25.48098,0.8155,5,3,0.134,0.347,0.26035,-0.14,0.86,0.51,0.70912,0,1
2,2,3,1,3,2.16778,8.57,1.91,1.23,2.35,2.12,0.2448,0.60883,0.9534,198.17738,227.68876,231.27154,242.42528,237.65875,230.09627,10.6,-17.71576,3.63,48.14,0.1939,0.16,0.19,89.88163,17.3,0.42,0.41,3466,0.02208,0.02,3.3225,12.0,18.2,4.4766,-25.1711,-25.89786,1.1499,3,3,0.122,0.316,0.54414,-0.14,1.0,0.49,0.82907,0,1
2,2,3,1,3,7.38659,8.57,1.91,1.23,2.35,2.12,0.60246,0.40603,0.57696,174.19309,196.35273,232.84681,257.65404,264.54753,244.07787,10.6,-16.56809,3.63,48.14,0.1939,0.16,0.19,89.97122,17.3,0.42,0.41,3466,0.02208,0.02,3.3225,12.0,18.2,4.4766,-25.1711,-25.481,1.1499,3,1,0.122,0.316,-0.38101,-0.14,1.0,0.49,0.85512,0,1
2,4,3,2,3,3.69185,0.62,0.92,0.8,0.74,0.82,0.21036,0.34577,0.97215,203.68045,199.0947,192.81532,208.07531,225.14333,288.24239,0.5,-16.86042,1.74,6.1,0.0282,0.09,0.03,89.74987,0.0,0.08,0.12,2559,0.00053,0.04,0.5,18.8,12.1,23.1081,-5.0413,-25.79246,2.2216,7,1,0.019,0.051,0.53916,-0.12,-0.68,0.55,0.73915,0,1
2,4,3,2,3,5.88502,2.7,1.4,0.99,1.39,1.39,0.58294,0.38906,1.06315,163.76631,193.79426,229.59042,222.05027,262.07375,292.24531,2.7,-16.46525,2.65,39.03,0.156,0.03,0.16,89.75935,103.0,0.33,0.35,3350,0.0137,-0.55,2.0,10.2,6.8,17.3158,-34.9897,-26.09976,1.19,6,1,0.096,0.251,0.02483,-0.16,0.08,0.78,0.56946,0,1
2,4,3,2,3,6.27962,2.7,1.4,0.99,1.39,1.39,0.43496,0.40705,0.71851,203.99397,207.28268,271.39814,253.74156,254.25886,245.29635,2.7,-16.31144,2.65,39.03,0.156,0.03,0.16,89.93595,103.0,0.33,0.35,3350,0.0137,-0.55,2.0,10.2,6.8,17.3158,-34.9897,-25.94383,1.19,6,3,0.096,0.251,-0.25943,-0.16,0.08,0.78,0.79694,0,1
2,4,3,2,3,5.17569,2.7,1.4,0.99,1.39,1.39,0.33501,0.61066,0.83342,196.96104,214.30498,277.53406,254.39738,270.7284,311.69895,2.7,-16.24857,2.65,39.03,0.156,0.03,0.16,89.93438,103.0,0.33,0.35,3350,0.0137,-0.55,2.0,10.2,6.8,17.3158,-34.9897,-25.50774,1.19,6,2,0.096,0.251,-0.16815,-0.16,0.08,0.78,0.61908,0,1
2,4,3,2,3,7.71956,4.8,1.64,1.09,1.79,1.71,0.60721,0.53031,0.85466,198.83239,222.51484,200.69141,244.99722,271.7936,288.16009,5.2,-17.60475,3.11,48.62,0.168,0.21,0.16,89.98648,80.4,0.28,0.29,3550,0.01198,-0.86,8.0,8.8,3.91,5.1947,-45.0183,-26.21399,0.9409,2,2,0.089,0.232,0.68556,-0.15,0.57,0.63,0.68942,0,1
2,2,3,2,3,2.46345,7.26,1.83,1.19,2.17,1.99,0.18868,0.42257,0.45956,186.90342,224.99595,207.97745,264.1698,248.79494,237.07249,8.6,-18.05989,3.48,25.64,0.1254,0.09,0.12,89.98927,235.4,0.4,0.23,3840,0.01038,-0.31145,3.0,11.8,15.0,4.1544,-53.3736,-25.43277,0.9881,3,3,0.083,0.212,-0.29999,-0.14,0.81,0.53,0.58792,0,1
2,2,3,2,3,5.37062,5.21,1.68,1.11,1.86,1.76,0.4411,0.55538,0.8563,212.88569,217.84331,279.52632,262.15849,265.13661,236.99649,5.8,-17.98488,3.18,67.27,0.2039,0.32,0.19,89.94708,102.0,0.25,0.32,3305,0.01101,-0.31145,3.3225,10.1,4.29,16.505,-12.6626,-25.67445,0.8847,3,3,0.086,0.225,0.20145,-0.15,0.76,0.48,0.63148,0,1
2,2,3,2,3,3.99353,7.09,1.82,1.18,2.15,1.98,0.5685,0.5827,0.96761,221.29237,211.54639,193.16781,238.08076,230.34504,310.24021,8.4,-17.57382,3.45,197.8,0.6,0.29,0.57,89.99863,91.2,0.77,0.65,4977,0.2333,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-25.42432,0.6042,6,1,0.379,0.917,0.09552,-0.14,0.77,0.56,0.56186,1,1
2,2,3,1,3,8.03753,8.7,1.92,1.24,2.37,2.13,0.6117,0.60348,0.71603,180.40765,217.30264,214.82787,251.80697,263.47318,268.66342,10.8,-17.87126,3.64,57.32,0.176,0.1,0.18,89.99529,320.9,0.27,0.39,3028,0.01132,-0.31145,3.3225,11.87857,5.08,17.6177,-43.6808,-26.13177,1.1831,2,3,0.087,0.232,0.31618,-0.14,1.19,0.45,0.76202,0,1
