P. Name,P. Habitable Class,P. Mass Class,P. Composition Class,P. Atmosphere Class,P. Zone Class,P. Min Mass (EU),P. Mass (EU),P. Radius (EU),P. Density (EU),P. Gravity (EU),P. Esc Vel (EU),P. SFlux Min (EU),P. SFlux Mean (EU),P. SFlux Max (EU),P. Teq Min (K),P. Teq Mean (K),P. Teq Max (K),P. Ts Min (K),P. Ts Mean (K),P. Ts Max (K),P. Surf Press (EU),P. Mag,P. Appar Size (deg),P. Period (days),P. Sem Major Axis (AU),P. Eccentricity,P. Mean Distance (AU),P. Inclination (deg),P. Omega (deg),S. Mass (SU),S. Radius (SU),S. Teff (K),S. Luminosity (SU),S. [Fe/H],S. Age (Gyrs),S. Appar Mag,S. Distance (pc),S. RA (hrs),S. DEC (deg),S. Mag from Planet,S. Size from Planet (deg),S. No. Planets,S. No. Planets HZ,S. Hab Zone Min (AU),S. Hab Zone Max (AU),P. HZD,P. HZC,P. HZA,P. HZI,P. ESI,S. HabCat,P. Habitable
HD 40307 g,2.0,2.0,3.0,2.0,3.0,7.09,7.09,1.82,1.18,2.15,1.98,0.3895282,0.6771687,1.285592,201.3,227.4,271.3,244.4,270.5,314.4,8.4,-18.1,3.45,197.8,0.6,0.29,0.57,89.8971428571429,91.2,0.77,0.65,4977.0,0.233304,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-26.4,0.6042,6.0,1.0,0.379,0.917,-0.15,-0.14,0.77,0.56,0.74,1.0,1.0
HD 40307 g,2.0,2.0,3.0,2.0,3.0,7.09,7.09,1.82,1.18,2.15,1.98,0.3895282,0.6771687,1.285592,201.3,227.4,271.3,244.4,275.0,314.4,8.4,-18.1,3.45,197.8,0.6,0.29,0.57,89.8971428571429,91.2,0.77,0.65,4977.0,0.233304,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-26.4,0.6042,6.0,1.0,0.379,0.917,-0.15,-0.14,0.77,0.56,0.74,1.0,1.0
HD 40307 g,2.0,2.0,3.0,2.0,3.0,7.09,7.09,1.82,1.18,2.15,1.98,0.3895282,0.6771687,1.285592,201.3,227.4,271.3,244.4,234.0,314.4,8.4,-18.1,3.45,197.8,0.6,0.29,0.57,89.8971428571429,91.2,0.77,0.65,4977.0,0.233304,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-26.4,0.6042,6.0,1.0,0.379,0.917,-0.15,-0.14,0.77,0.56,0.74,1.0,1.0
HD 40307 g,2.0,2.0,3.0,2.0,3.0,7.09,7.09,1.82,1.18,2.15,1.98,0.3895282,0.6771687,1.285592,201.3,227.4,271.3,244.4,276.0,314.4,8.4,-18.1,3.45,197.8,0.6,0.29,0.57,89.8971428571429,91.2,0.77,0.65,4977.0,0.233304,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-26.4,0.6042,6.0,1.0,0.379,0.917,-0.15,-0.14,0.77,0.56,0.74,1.0,1.0
HD 40307 g,2.0,2.0,3.0,2.0,3.0,7.09,7.09,1.82,1.18,2.15,1.98,0.3895282,0.6771687,1.285592,201.3,227.4,271.3,244.4,276.0,314.4,8.4,-18.1,3.45,197.8,0.6,0.29,0.57,89.8971428571429,91.2,0.77,0.65,4977.0,0.233304,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-26.4,0.6042,6.0,1.0,0.379,0.917,-0.15,-0.14,0.77,0.56,0.74,1.0,1.0
HD 40307 g,2.0,2.0,3.0,2.0,3.0,7.09,7.09,1.82,1.18,2.15,1.98,0.3895282,0.6771687,1.285592,201.3,227.4,271.3,244.4,253.0,314.4,8.4,-18.1,3.45,197.8,0.6,0.29,0.57,89.8971428571429,91.2,0.77,0.65,4977.0,0.233304,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-26.4,0.6042,6.0,1.0,0.379,0.917,-0.15,-0.14,0.77,0.56,0.74,1.0,1.0
HD 40307 g,2.0,2.0,3.0,2.0,3.0,7.09,7.09,1.82,1.18,2.15,1.98,0.3895282,0.6771687,1.285592,201.3,227.4,271.3,244.4,237.0,314.4,8.4,-18.1,3.45,197.8,0.6,0.29,0.57,89.8971428571429,91.2,0.77,0.65,4977.0,0.233304,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-26.4,0.6042,6.0,1.0,0.379,0.917,-0.15,-0.14,0.77,0.56,0.74,1.0,1.0
HD 40307 g,2.0,2.0,3.0,2.0,3.0,7.09,7.09,1.82,1.18,2.15,1.98,0.3895282,0.6771687,1.285592,201.3,227.4,271.3,244.4,261.0,314.4,8.4,-18.1,3.45,197.8,0.6,0.29,0.57,89.8971428571429,91.2,0.77,0.65,4977.0,0.233304,-0.31,1.2,7.2,12.8,5.9011,-60.0233,-26.4,0.6042,6.0,1.0,0.379,0.917,-0.15,-0.14,0.77,0.56,0.74,1.0,1.0
Kapteyn b,2.0,4.0,3.0,2.0,3.0,4.8,4.8,1.64,1.09,1.79,1.71,0.2900587,0.4342851,0.6803408,187.0,205.1,231.4,228.1,246.2,272.5,5.2,-17.37,3.11,48.62,0.168,0.21,0.16,89.8971428571429,80.4,0.28,0.29,3550.0,0.011984,-0.86,8.0,8.8,3.91,5.1947,-45.0183,-25.8,0.9409,2.0,1.0,0.089,0.232,0.12,-0.15,0.57,0.63,0.67,0.0,1.0
Kapteyn b,2.0,4.0,3.0,2.0,3.0,4.8,4.8,1.64,1.09,1.79,1.71,0.2900587,0.4342851,0.6803408,187.0,205.1,231.4,228.1,237.0,272.5,5.2,-17.37,3.11,48.62,0.168,0.21,0.16,89.8971428571429,80.4,0.28,0.29,3550.0,0.011984,-0.86,8.0,8.8,3.91,5.1947,-45.0183,-25.8,0.9409,2.0,1.0,0.089,0.232,0.12,-0.15,0.57,0.63,0.67,0.0,1.0
Kapteyn b,2.0,4.0,3.0,2.0,3.0,4.8,4.8,1.64,1.09,1.79,1.71,0.2900587,0.4342851,0.6803408,187.0,205.1,231.4,228.1,261.0,272.5,5.2,-17.37,3.11,48.62,0.168,0.21,0.16,89.8971428571429,80.4,0.28,0.29,3550.0,0.011984,-0.86,8.0,8.8,3.91,5.1947,-45.0183,-25.8,0.9409,2.0,1.0,0.089,0.232,0.12,-0.15,0.57,0.63,0.67,0.0,1.0
Kapteyn b,2.0,4.0,3.0,2.0,3.0,4.8,4.8,1.64,1.09,1.79,1.71,0.2900587,0.4342851,0.6803408,187.0,205.1,231.4,228.1,253.0,272.5,5.2,-17.37,3.11,48.62,0.168,0.21,0.16,89.8971428571429,80.4,0.28,0.29,3550.0,0.011984,-0.86,8.0,8.8,3.91,5.1947,-45.0183,-25.8,0.9409,2.0,1.0,0.089,0.232,0.12,-0.15,0.57,0.63,0.67,0.0,1.0
Kapteyn b,2.0,4.0,3.0,2.0,3.0,4.8,4.8,1.64,1.09,1.79,1.71,0.2900587,0.4342851,0.6803408,187.0,205.1,231.4,228.1,273.0,272.5,5.2,-17.37,3.11,48.62,0.168,0.21,0.16,89.8971428571429,80.4,0.28,0.29,3550.0,0.011984,-0.86,8.0,8.8,3.91,5.1947,-45.0183,-25.8,0.9409,2.0,1.0,0.089,0.232,0.12,-0.15,0.57,0.63,0.67,0.0,1.0
Kapteyn b,2.0,4.0,3.0,2.0,3.0,4.8,4.8,1.64,1.09,1.79,1.71,0.2900587,0.4342851,0.6803408,187.0,205.1,231.4,228.1,272.0,272.5,5.2,-17.37,3.11,48.62,0.168,0.21,0.16,89.8971428571429,80.4,0.28,0.29,3550.0,0.011984,-0.86,8.0,8.8,3.91,5.1947,-45.0183,-25.8,0.9409,2.0,1.0,0.089,0.232,0.12,-0.15,0.57,0.63,0.67,0.0,1.0
Kapteyn b,2.0,4.0,3.0,2.0,3.0,4.8,4.8,1.64,1.09,1.79,1.71,0.2900587,0.4342851,0.6803408,187.0,205.1,231.4,228.1,257.0,272.5,5.2,-17.37,3.11,48.62,0.168,0.21,0.16,89.8971428571429,80.4,0.28,0.29,3550.0,0.011984,-0.86,8.0,8.8,3.91,5.1947,-45.0183,-25.8,0.9409,2.0,1.0,0.089,0.232,0.12,-0.15,0.57,0.63,0.67,0.0,1.0
Kapteyn b,2.0,4.0,3.0,2.0,3.0,4.8,4.8,1.64,1.09,1.79,1.71,0.2900587,0.4342851,0.6803408,187.0,205.1,231.4,228.1,269.0,272.5,5.2,-17.37,3.11,48.62,0.168,0.21,0.16,89.8971428571429,80.4,0.28,0.29,3550.0,0.011984,-0.86,8.0,8.8,3.91,5.1947,-45.0183,-25.8,0.9409,2.0,1.0,0.089,0.232,0.12,-0.15,0.57,0.63,0.67,0.0,1.0
Kepler-62 f,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.81,1.41,1.0,1.41,1.41,0.388223,0.388223,0.388223,201.1,201.1,201.1,239.5,239.5,239.5,2.8,-16.89,2.68,267.29,0.718,0.0,0.72,89.9,0.0,0.69,0.63,4869.0,0.200138,-0.21,7.0,14.0,368.0,18.8808,45.3499,-25.7,0.4676,5.0,2.0,0.353,0.857,0.45,-0.16,0.19,0.66,0.67,0.0,1.0
Kepler-62 f,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.81,1.41,1.0,1.41,1.41,0.388223,0.388223,0.388223,201.1,201.1,201.1,239.5,257.0,239.5,2.8,-16.89,2.68,267.29,0.718,0.0,0.72,89.9,0.0,0.69,0.63,4869.0,0.200138,-0.21,7.0,14.0,368.0,18.8808,45.3499,-25.7,0.4676,5.0,2.0,0.353,0.857,0.45,-0.16,0.19,0.66,0.67,0.0,1.0
Kepler-62 f,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.81,1.41,1.0,1.41,1.41,0.388223,0.388223,0.388223,201.1,201.1,201.1,239.5,269.0,239.5,2.8,-16.89,2.68,267.29,0.718,0.0,0.72,89.9,0.0,0.69,0.63,4869.0,0.200138,-0.21,7.0,14.0,368.0,18.8808,45.3499,-25.7,0.4676,5.0,2.0,0.353,0.857,0.45,-0.16,0.19,0.66,0.67,0.0,1.0
Kepler-62 f,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.81,1.41,1.0,1.41,1.41,0.388223,0.388223,0.388223,201.1,201.1,201.1,239.5,273.0,239.5,2.8,-16.89,2.68,267.29,0.718,0.0,0.72,89.9,0.0,0.69,0.63,4869.0,0.200138,-0.21,7.0,14.0,368.0,18.8808,45.3499,-25.7,0.4676,5.0,2.0,0.353,0.857,0.45,-0.16,0.19,0.66,0.67,0.0,1.0
Kepler-62 f,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.81,1.41,1.0,1.41,1.41,0.388223,0.388223,0.388223,201.1,201.1,201.1,239.5,286.0,239.5,2.8,-16.89,2.68,267.29,0.718,0.0,0.72,89.9,0.0,0.69,0.63,4869.0,0.200138,-0.21,7.0,14.0,368.0,18.8808,45.3499,-25.7,0.4676,5.0,2.0,0.353,0.857,0.45,-0.16,0.19,0.66,0.67,0.0,1.0
Kepler-62 f,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.81,1.41,1.0,1.41,1.41,0.388223,0.388223,0.388223,201.1,201.1,201.1,239.5,281.0,239.5,2.8,-16.89,2.68,267.29,0.718,0.0,0.72,89.9,0.0,0.69,0.63,4869.0,0.200138,-0.21,7.0,14.0,368.0,18.8808,45.3499,-25.7,0.4676,5.0,2.0,0.353,0.857,0.45,-0.16,0.19,0.66,0.67,0.0,1.0
Kepler-62 f,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.81,1.41,1.0,1.41,1.41,0.388223,0.388223,0.388223,201.1,201.1,201.1,239.5,272.0,239.5,2.8,-16.89,2.68,267.29,0.718,0.0,0.72,89.9,0.0,0.69,0.63,4869.0,0.200138,-0.21,7.0,14.0,368.0,18.8808,45.3499,-25.7,0.4676,5.0,2.0,0.353,0.857,0.45,-0.16,0.19,0.66,0.67,0.0,1.0
Kepler-62 f,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.81,1.41,1.0,1.41,1.41,0.388223,0.388223,0.388223,201.1,201.1,201.1,239.5,294.0,239.5,2.8,-16.89,2.68,267.29,0.718,0.0,0.72,89.9,0.0,0.69,0.63,4869.0,0.200138,-0.21,7.0,14.0,368.0,18.8808,45.3499,-25.7,0.4676,5.0,2.0,0.353,0.857,0.45,-0.16,0.19,0.66,0.67,0.0,1.0
Kepler-296 f,2.0,2.0,3.0,2.0,3.0,4.55577119509704,6.14,1.75,1.15,2.01,1.87,0.2687829,0.3395788,0.4353369,183.4,194.0,206.9,225.8,236.3,249.3,7.0,-17.22,3.33,63.34,0.283,0.12,0.28,90.0,0.0,0.45,0.43,3572.0,0.027,-0.12,4.2,10.1,226.0,19.1027,49.4373,-25.6,0.8155,5.0,2.0,0.134,0.347,0.4,-0.14,0.86,0.51,0.6,0.0,1.0
Kepler-296 f,2.0,2.0,3.0,2.0,3.0,4.55577119509704,6.14,1.75,1.15,2.01,1.87,0.2687829,0.3395788,0.4353369,183.4,194.0,206.9,225.8,272.0,249.3,7.0,-17.22,3.33,63.34,0.283,0.12,0.28,90.0,0.0,0.45,0.43,3572.0,0.027,-0.12,4.2,10.1,226.0,19.1027,49.4373,-25.6,0.8155,5.0,2.0,0.134,0.347,0.4,-0.14,0.86,0.51,0.6,0.0,1.0
Kepler-296 f,2.0,2.0,3.0,2.0,3.0,4.55577119509704,6.14,1.75,1.15,2.01,1.87,0.2687829,0.3395788,0.4353369,183.4,194.0,206.9,225.8,294.0,249.3,7.0,-17.22,3.33,63.34,0.283,0.12,0.28,90.0,0.0,0.45,0.43,3572.0,0.027,-0.12,4.2,10.1,226.0,19.1027,49.4373,-25.6,0.8155,5.0,2.0,0.134,0.347,0.4,-0.14,0.86,0.51,0.6,0.0,1.0
Kepler-296 f,2.0,2.0,3.0,2.0,3.0,4.55577119509704,6.14,1.75,1.15,2.01,1.87,0.2687829,0.3395788,0.4353369,183.4,194.0,206.9,225.8,258.0,249.3,7.0,-17.22,3.33,63.34,0.283,0.12,0.28,90.0,0.0,0.45,0.43,3572.0,0.027,-0.12,4.2,10.1,226.0,19.1027,49.4373,-25.6,0.8155,5.0,2.0,0.134,0.347,0.4,-0.14,0.86,0.51,0.6,0.0,1.0
Kepler-296 f,2.0,2.0,3.0,2.0,3.0,4.55577119509704,6.14,1.75,1.15,2.01,1.87,0.2687829,0.3395788,0.4353369,183.4,194.0,206.9,225.8,269.0,249.3,7.0,-17.22,3.33,63.34,0.283,0.12,0.28,90.0,0.0,0.45,0.43,3572.0,0.027,-0.12,4.2,10.1,226.0,19.1027,49.4373,-25.6,0.8155,5.0,2.0,0.134,0.347,0.4,-0.14,0.86,0.51,0.6,0.0,1.0
Kepler-296 f,2.0,2.0,3.0,2.0,3.0,4.55577119509704,6.14,1.75,1.15,2.01,1.87,0.2687829,0.3395788,0.4353369,183.4,194.0,206.9,225.8,275.0,249.3,7.0,-17.22,3.33,63.34,0.283,0.12,0.28,90.0,0.0,0.45,0.43,3572.0,0.027,-0.12,4.2,10.1,226.0,19.1027,49.4373,-25.6,0.8155,5.0,2.0,0.134,0.347,0.4,-0.14,0.86,0.51,0.6,0.0,1.0
Kepler-296 f,2.0,2.0,3.0,2.0,3.0,4.55577119509704,6.14,1.75,1.15,2.01,1.87,0.2687829,0.3395788,0.4353369,183.4,194.0,206.9,225.8,302.0,249.3,7.0,-17.22,3.33,63.34,0.283,0.12,0.28,90.0,0.0,0.45,0.43,3572.0,0.027,-0.12,4.2,10.1,226.0,19.1027,49.4373,-25.6,0.8155,5.0,2.0,0.134,0.347,0.4,-0.14,0.86,0.51,0.6,0.0,1.0
Kepler-296 f,2.0,2.0,3.0,2.0,3.0,4.55577119509704,6.14,1.75,1.15,2.01,1.87,0.2687829,0.3395788,0.4353369,183.4,194.0,206.9,225.8,266.0,249.3,7.0,-17.22,3.33,63.34,0.283,0.12,0.28,90.0,0.0,0.45,0.43,3572.0,0.027,-0.12,4.2,10.1,226.0,19.1027,49.4373,-25.6,0.8155,5.0,2.0,0.134,0.347,0.4,-0.14,0.86,0.51,0.6,0.0,1.0
Kepler-442 b,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.34,1.34,0.97,1.3,1.32,0.6466799,0.6999821,0.7589214,228.5,233.0,237.8,266.0,270.5,275.3,2.3,-17.42,2.55,112.31,0.409,0.04,0.41,89.9,0.0,0.61,0.59,4402.0,0.117,-0.37,2.9,7.7,342.0,19.0244,39.2801,-26.3,0.7685,1.0,1.0,0.274,0.681,-0.34,-0.16,-0.06,0.73,0.84,0.0,1.0
Kepler-442 b,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.34,1.34,0.97,1.3,1.32,0.6466799,0.6999821,0.7589214,228.5,233.0,237.8,266.0,302.0,275.3,2.3,-17.42,2.55,112.31,0.409,0.04,0.41,89.9,0.0,0.61,0.59,4402.0,0.117,-0.37,2.9,7.7,342.0,19.0244,39.2801,-26.3,0.7685,1.0,1.0,0.274,0.681,-0.34,-0.16,-0.06,0.73,0.84,0.0,1.0
Kepler-442 b,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.34,1.34,0.97,1.3,1.32,0.6466799,0.6999821,0.7589214,228.5,233.0,237.8,266.0,266.0,275.3,2.3,-17.42,2.55,112.31,0.409,0.04,0.41,89.9,0.0,0.61,0.59,4402.0,0.117,-0.37,2.9,7.7,342.0,19.0244,39.2801,-26.3,0.7685,1.0,1.0,0.274,0.681,-0.34,-0.16,-0.06,0.73,0.84,0.0,1.0
Kepler-442 b,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.34,1.34,0.97,1.3,1.32,0.6466799,0.6999821,0.7589214,228.5,233.0,237.8,266.0,262.0,275.3,2.3,-17.42,2.55,112.31,0.409,0.04,0.41,89.9,0.0,0.61,0.59,4402.0,0.117,-0.37,2.9,7.7,342.0,19.0244,39.2801,-26.3,0.7685,1.0,1.0,0.274,0.681,-0.34,-0.16,-0.06,0.73,0.84,0.0,1.0
Kepler-442 b,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.34,1.34,0.97,1.3,1.32,0.6466799,0.6999821,0.7589214,228.5,233.0,237.8,266.0,267.0,275.3,2.3,-17.42,2.55,112.31,0.409,0.04,0.41,89.9,0.0,0.61,0.59,4402.0,0.117,-0.37,2.9,7.7,342.0,19.0244,39.2801,-26.3,0.7685,1.0,1.0,0.274,0.681,-0.34,-0.16,-0.06,0.73,0.84,0.0,1.0
Kepler-442 b,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.34,1.34,0.97,1.3,1.32,0.6466799,0.6999821,0.7589214,228.5,233.0,237.8,266.0,265.0,275.3,2.3,-17.42,2.55,112.31,0.409,0.04,0.41,89.9,0.0,0.61,0.59,4402.0,0.117,-0.37,2.9,7.7,342.0,19.0244,39.2801,-26.3,0.7685,1.0,1.0,0.274,0.681,-0.34,-0.16,-0.06,0.73,0.84,0.0,1.0
Kepler-442 b,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.34,1.34,0.97,1.3,1.32,0.6466799,0.6999821,0.7589214,228.5,233.0,237.8,266.0,269.0,275.3,2.3,-17.42,2.55,112.31,0.409,0.04,0.41,89.9,0.0,0.61,0.59,4402.0,0.117,-0.37,2.9,7.7,342.0,19.0244,39.2801,-26.3,0.7685,1.0,1.0,0.274,0.681,-0.34,-0.16,-0.06,0.73,0.84,0.0,1.0
Kepler-442 b,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.34,1.34,0.97,1.3,1.32,0.6466799,0.6999821,0.7589214,228.5,233.0,237.8,266.0,286.0,275.3,2.3,-17.42,2.55,112.31,0.409,0.04,0.41,89.9,0.0,0.61,0.59,4402.0,0.117,-0.37,2.9,7.7,342.0,19.0244,39.2801,-26.3,0.7685,1.0,1.0,0.274,0.681,-0.34,-0.16,-0.06,0.73,0.84,0.0,1.0
Kepler-1229 b,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.73,1.4,0.99,1.39,1.4,0.4901548,0.4901549,0.4901549,213.2,213.2,213.2,251.4,251.4,251.4,2.7,-17.13,2.66,86.83,0.3124,0.0,0.31,89.8971428571429,0.0,0.54,0.51,3784.0,0.047845,-0.238157894736842,3.72,15.5,236.0,19.8324,46.9967,-26.0,0.8699,1.0,1.0,0.178,0.456,-0.03,-0.16,0.12,0.83,0.73,0.0,1.0
Kepler-1229 b,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.73,1.4,0.99,1.39,1.4,0.4901548,0.4901549,0.4901549,213.2,213.2,213.2,251.4,269.0,251.4,2.7,-17.13,2.66,86.83,0.3124,0.0,0.31,89.8971428571429,0.0,0.54,0.51,3784.0,0.047845,-0.238157894736842,3.72,15.5,236.0,19.8324,46.9967,-26.0,0.8699,1.0,1.0,0.178,0.456,-0.03,-0.16,0.12,0.83,0.73,0.0,1.0
Kepler-1229 b,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.73,1.4,0.99,1.39,1.4,0.4901548,0.4901549,0.4901549,213.2,213.2,213.2,251.4,286.0,251.4,2.7,-17.13,2.66,86.83,0.3124,0.0,0.31,89.8971428571429,0.0,0.54,0.51,3784.0,0.047845,-0.238157894736842,3.72,15.5,236.0,19.8324,46.9967,-26.0,0.8699,1.0,1.0,0.178,0.456,-0.03,-0.16,0.12,0.83,0.73,0.0,1.0
Kepler-1229 b,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.73,1.4,0.99,1.39,1.4,0.4901548,0.4901549,0.4901549,213.2,213.2,213.2,251.4,261.0,251.4,2.7,-17.13,2.66,86.83,0.3124,0.0,0.31,89.8971428571429,0.0,0.54,0.51,3784.0,0.047845,-0.238157894736842,3.72,15.5,236.0,19.8324,46.9967,-26.0,0.8699,1.0,1.0,0.178,0.456,-0.03,-0.16,0.12,0.83,0.73,0.0,1.0
Kepler-1229 b,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.73,1.4,0.99,1.39,1.4,0.4901548,0.4901549,0.4901549,213.2,213.2,213.2,251.4,266.0,251.4,2.7,-17.13,2.66,86.83,0.3124,0.0,0.31,89.8971428571429,0.0,0.54,0.51,3784.0,0.047845,-0.238157894736842,3.72,15.5,236.0,19.8324,46.9967,-26.0,0.8699,1.0,1.0,0.178,0.456,-0.03,-0.16,0.12,0.83,0.73,0.0,1.0
Kepler-1229 b,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.73,1.4,0.99,1.39,1.4,0.4901548,0.4901549,0.4901549,213.2,213.2,213.2,251.4,257.0,251.4,2.7,-17.13,2.66,86.83,0.3124,0.0,0.31,89.8971428571429,0.0,0.54,0.51,3784.0,0.047845,-0.238157894736842,3.72,15.5,236.0,19.8324,46.9967,-26.0,0.8699,1.0,1.0,0.178,0.456,-0.03,-0.16,0.12,0.83,0.73,0.0,1.0
Kepler-1229 b,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.73,1.4,0.99,1.39,1.4,0.4901548,0.4901549,0.4901549,213.2,213.2,213.2,251.4,259.0,251.4,2.7,-17.13,2.66,86.83,0.3124,0.0,0.31,89.8971428571429,0.0,0.54,0.51,3784.0,0.047845,-0.238157894736842,3.72,15.5,236.0,19.8324,46.9967,-26.0,0.8699,1.0,1.0,0.178,0.456,-0.03,-0.16,0.12,0.83,0.73,0.0,1.0
Kepler-1229 b,2.0,4.0,3.0,2.0,3.0,4.55577119509704,2.73,1.4,0.99,1.39,1.4,0.4901548,0.4901549,0.4901549,213.2,213.2,213.2,251.4,267.0,251.4,2.7,-17.13,2.66,86.83,0.3124,0.0,0.31,89.8971428571429,0.0,0.54,0.51,3784.0,0.047845,-0.238157894736842,3.72,15.5,236.0,19.8324,46.9967,-26.0,0.8699,1.0,1.0,0.178,0.456,-0.03,-0.16,0.12,0.83,0.73,0.0,1.0
Proxima Cen b,2.0,4.0,3.0,2.0,3.0,1.27,1.27,1.12,0.9,1.01,1.06,0.3601554,0.7005222,1.553164,197.4,227.5,284.4,231.9,262.1,319.0,1.1,-17.11,2.13,11.19,0.0485,0.35,0.05,89.8971428571429,310.0,0.12,0.14,3050.0,0.001544,-0.238157894736842,4.85,11.1,1.29,14.4953,-62.6795,-26.4,1.654,1.0,1.0,0.032,0.086,-0.36,-0.17,-0.39,0.64,0.87,0.0,1.0
Proxima Cen b,2.0,4.0,3.0,2.0,3.0,1.27,1.27,1.12,0.9,1.01,1.06,0.3601554,0.7005222,1.553164,197.4,227.5,284.4,231.9,259.0,319.0,1.1,-17.11,2.13,11.19,0.0485,0.35,0.05,89.8971428571429,310.0,0.12,0.14,3050.0,0.001544,-0.238157894736842,4.85,11.1,1.29,14.4953,-62.6795,-26.4,1.654,1.0,1.0,0.032,0.086,-0.36,-0.17,-0.39,0.64,0.87,0.0,1.0
Proxima Cen b,2.0,4.0,3.0,2.0,3.0,1.27,1.27,1.12,0.9,1.01,1.06,0.3601554,0.7005222,1.553164,197.4,227.5,284.4,231.9,267.0,319.0,1.1,-17.11,2.13,11.19,0.0485,0.35,0.05,89.8971428571429,310.0,0.12,0.14,3050.0,0.001544,-0.238157894736842,4.85,11.1,1.29,14.4953,-62.6795,-26.4,1.654,1.0,1.0,0.032,0.086,-0.36,-0.17,-0.39,0.64,0.87,0.0,1.0
Proxima Cen b,2.0,4.0,3.0,2.0,3.0,1.27,1.27,1.12,0.9,1.01,1.06,0.3601554,0.7005222,1.553164,197.4,227.5,284.4,231.9,265.0,319.0,1.1,-17.11,2.13,11.19,0.0485,0.35,0.05,89.8971428571429,310.0,0.12,0.14,3050.0,0.001544,-0.238157894736842,4.85,11.1,1.29,14.4953,-62.6795,-26.4,1.654,1.0,1.0,0.032,0.086,-0.36,-0.17,-0.39,0.64,0.87,0.0,1.0
Proxima Cen b,2.0,4.0,3.0,2.0,3.0,1.27,1.27,1.12,0.9,1.01,1.06,0.3601554,0.7005222,1.553164,197.4,227.5,284.4,231.9,281.0,319.0,1.1,-17.11,2.13,11.19,0.0485,0.35,0.05,89.8971428571429,310.0,0.12,0.14,3050.0,0.001544,-0.238157894736842,4.85,11.1,1.29,14.4953,-62.6795,-26.4,1.654,1.0,1.0,0.032,0.086,-0.36,-0.17,-0.39,0.64,0.87,0.0,1.0
Proxima Cen b,2.0,4.0,3.0,2.0,3.0,1.27,1.27,1.12,0.9,1.01,1.06,0.3601554,0.7005222,1.553164,197.4,227.5,284.4,231.9,273.0,319.0,1.1,-17.11,2.13,11.19,0.0485,0.35,0.05,89.8971428571429,310.0,0.12,0.14,3050.0,0.001544,-0.238157894736842,4.85,11.1,1.29,14.4953,-62.6795,-26.4,1.654,1.0,1.0,0.032,0.086,-0.36,-0.17,-0.39,0.64,0.87,0.0,1.0
Proxima Cen b,2.0,4.0,3.0,2.0,3.0,1.27,1.27,1.12,0.9,1.01,1.06,0.3601554,0.7005222,1.553164,197.4,227.5,284.4,231.9,271.0,319.0,1.1,-17.11,2.13,11.19,0.0485,0.35,0.05,89.8971428571429,310.0,0.12,0.14,3050.0,0.001544,-0.238157894736842,4.85,11.1,1.29,14.4953,-62.6795,-26.4,1.654,1.0,1.0,0.032,0.086,-0.36,-0.17,-0.39,0.64,0.87,0.0,1.0
Proxima Cen b,2.0,4.0,3.0,2.0,3.0,1.27,1.27,1.12,0.9,1.01,1.06,0.3601554,0.7005222,1.553164,197.4,227.5,284.4,231.9,284.0,319.0,1.1,-17.11,2.13,11.19,0.0485,0.35,0.05,89.8971428571429,310.0,0.12,0.14,3050.0,0.001544,-0.238157894736842,4.85,11.1,1.29,14.4953,-62.6795,-26.4,1.654,1.0,1.0,0.032,0.086,-0.36,-0.17,-0.39,0.64,0.87,0.0,1.0
